model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
Oppo Reno 11 Pro,Oppo,12,512,1499,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Arm Mali G610 MC6 950MHz,Mediatek Dimensity 8200 (4 nm),"Li-Po 4700 mAh, non-removable battery80W wired, PD, QC3, 1-50% in 11 min, 1-100% in 27 min (advertised)
Reverse wired",4700.0,6144
realme C67,realme,8,256,599,Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm SM6225 Snapdragon 685 (6 nm),"5000 mAh, non-removable battery33W wired",5000.0,2048
realme C67 (Variant 1),realme,8,256,599,Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm SM6225 Snapdragon 685 (6 nm),"5000 mAh, non-removable battery33W wired",5000.0,2048
vivo X100 Pro,vivo,16,512,3785,Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9300 (4 nm),"Li-Ion 5400 mAh, non-removable battery100W wired, 1-50% in 12 min (advertised)
50W wireless
Reverse wired",5400.0,8192
vivo X100,vivo,16,512,3143,Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9300 (4 nm),"Li-Ion 5000 mAh, non-removable battery120W wired, 1-50% in 11 min (advertised)
Reverse wired",5000.0,8192
Samsung Galaxy A15 5G,Samsung,4,6,629,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6100+ (6 nm),"5000 mAh, non-removable battery25W wired",5000.0,24
Samsung Galaxy A15,Samsung,8,256,739,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT8781 Helio G99 (6nm),"Li-Po 5000 mAh, non-removable battery15W wired",5000.0,2048
Samsung Galaxy A25,Samsung,8,256,988,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,Exynos 1280 (5 nm),"5000 mAh, non-removable battery25W wired",5000.0,2048
Oppo Find X7 Ultra,Oppo,12,16,2835,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"5000 mAh, non-removable battery100W wired, PD, 50% in 10 min, 100% in 26 min (advertised)
50W wireless
10W reverse wireless",5000.0,192
TECNO POVA 5 Pro,TECNO,8,256,699,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G99 (6nm),"6000 mAh, non-removable battery45W wired, 50% in 21 min, 100% in 60 min (advertised)",6000.0,2048
realme GT3,realme,16,1024,2399,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"4600 mAh, non-removable battery240W wired, PD, 1-50% in 4 min, 1-100% in 10 min (advertised)",4600.0,16384
HONOR X7b,HONOR,8,256,699,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Li-Po 6000 mAh, non-removable battery35W wired",6000.0,2048
HONOR X8b,HONOR,8,512,749,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Li-Po 4500 mAh, non-removable battery35W wired",4500.0,4096
Samsung Galaxy M54,Samsung,8,256,1539,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,Exynos 1380 (5 nm),"Li-Po 6000 mAh, non-removable battery25W wired",6000.0,2048
Poco M6,Poco,4,6,539,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6100+ (6 nm),"Li-Po 5000 mAh, non-removable battery18W wired, PD",5000.0,24
Infinix Hot 40 Pro,Infinix,8,256,519,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G99 (6nm),"5000 mAh, non-removable battery33W wired, 20-75% in 35 min (advertised)
Reverse wired",5000.0,2048
Infinix Hot 40i,Infinix,8,256,490,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"5000 mAh, non-removable battery18W wired
Reverse wired",5000.0,2048
iQOO 12,iQOO,16,512,3399,Octa-core (1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"5000 mAh, non-removable battery120W wired",5000.0,8192
nubia Z60 Ultra,nubia,12,256,3299,Octa-core (1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"Li-Po 6000 mAh, non-removable battery80W wired, PD3.0, QC4",6000.0,3072
nubia Z60 Ultra (Variant 1),nubia,16,512,3778,Octa-core (1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"Li-Po 6000 mAh, non-removable battery80W wired, PD3.0, QC4",6000.0,8192
TECNO SPARK Go 2024,TECNO,4,128,319,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"Li-Po 5000 mAh, non-removable battery10W wired",5000.0,512
TECNO Spark 20,TECNO,8,256,498,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769Z Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,2048
Redmi K70E,Redmi,12,12,1485,Octa-core 3.35 GHz,Mali G615-MC6,Mediatek Dimensity 8300 Ultra (4 nm),"Li-Po 5500 mAh, non-removable battery90W wired, PD3.0, QC2, 100% in 34 min (advertised)",5500.0,144
Redmi K70,Redmi,12,16,1428,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, QC3+, 100% in 18 min (advertised)",5000.0,192
